Time Stamp, O3FLOW-INST (cc/m), SMPFLW-INST (cc/m), RCPRES-INST (InHg)
02/09/2023 00:15:01,        0.0,        0.0,        0.0
02/09/2023 00:30:01,        0.0,        0.0,        0.0
02/09/2023 00:45:01,        0.0,        0.0,        0.0
02/09/2023 01:00:01,        0.0,        0.0,        0.0
02/09/2023 01:15:01,        0.0,        0.0,        0.0
02/09/2023 01:30:01,        0.0,        0.0,        0.0
02/09/2023 01:45:01,        0.0,        0.0,        0.0
02/09/2023 02:00:01,        0.0,        0.0,        0.0
02/09/2023 02:15:01,        0.0,        0.0,        0.0
02/09/2023 02:30:01,        0.0,        0.0,        0.0
02/09/2023 02:45:01,        0.0,        0.0,        0.0
02/09/2023 03:00:01,        0.0,        0.0,        0.0
02/09/2023 03:15:01,        0.0,        0.0,        0.0
02/09/2023 03:30:01,        0.0,        0.0,        0.0
02/09/2023 03:45:01,        0.0,        0.0,        0.0
02/09/2023 04:00:01,        0.0,        0.0,        0.0
02/09/2023 04:15:01,        0.0,        0.0,        0.0
02/09/2023 04:30:01,        0.0,        0.0,        0.0
02/09/2023 04:45:01,        0.0,        0.0,        0.0
02/09/2023 05:00:01,        0.0,        0.0,        0.0
02/09/2023 05:15:01,        0.0,        0.0,        0.0
02/09/2023 05:30:01,        0.0,        0.0,        0.0
02/09/2023 05:45:01,        0.0,        0.0,        0.0
02/09/2023 06:00:01,        0.0,        0.0,        0.0
02/09/2023 06:15:01,        0.0,        0.0,        0.0
02/09/2023 06:30:01,        0.0,        0.0,        0.0
02/09/2023 06:45:01,        0.0,        0.0,        0.0
02/09/2023 07:00:01,        0.0,        0.0,        0.0
02/09/2023 07:15:01,        0.0,        0.0,        0.0
02/09/2023 07:30:01,        0.0,        0.0,        0.0
02/09/2023 07:45:01,        0.0,        0.0,        0.0
02/09/2023 08:00:01,        0.0,        0.0,        0.0
02/09/2023 08:15:01,        0.0,        0.0,        0.0
02/09/2023 08:30:01,        0.0,        0.0,        0.0
02/09/2023 08:45:01,        0.0,        0.0,        0.0
02/09/2023 09:00:01,        0.0,        0.0,        0.0
02/09/2023 09:15:01,        0.0,        0.0,        0.0
02/09/2023 09:30:01,        0.0,        0.0,        0.0
02/09/2023 09:45:01,        0.0,        0.0,        0.0
02/09/2023 10:00:01,        0.0,        0.0,        0.0
02/09/2023 10:15:01,        0.0,        0.0,        0.0
02/09/2023 10:30:01,        0.0,        0.0,        0.0
02/09/2023 10:45:01,        0.0,        0.0,        0.0
02/09/2023 11:00:01,        0.0,        0.0,        0.0
02/09/2023 11:15:01,        0.0,        0.0,        0.0
02/09/2023 11:30:01,        0.0,        0.0,        0.0
02/09/2023 11:45:01,        0.0,        0.0,        0.0
02/09/2023 12:00:01,        0.0,        0.0,        0.0
02/09/2023 12:15:01,        0.0,        0.0,        0.0
02/09/2023 12:30:01,        0.0,        0.0,        0.0
02/09/2023 12:45:01,        0.0,        0.0,        0.0
02/09/2023 13:00:01,        0.0,        0.0,        0.0
02/09/2023 13:15:01,        0.0,        0.0,        0.0
02/09/2023 13:30:01,        0.0,        0.0,        0.0
02/09/2023 13:45:01,        0.0,        0.0,        0.0
02/09/2023 14:00:01,        0.0,        0.0,        0.0
02/09/2023 14:15:01,        0.0,        0.0,        0.0
02/09/2023 14:30:01,        0.0,        0.0,        0.0
02/09/2023 14:45:01,        0.0,        0.0,        0.0
02/09/2023 15:00:01,        0.0,        0.0,        0.0
02/09/2023 15:15:01,        0.0,        0.0,        0.0
02/09/2023 15:30:01,        0.0,        0.0,        0.0
02/09/2023 15:45:01,        0.0,        0.0,        0.0
02/09/2023 16:00:01,        0.0,        0.0,        0.0
02/09/2023 16:15:01,        0.0,        0.0,        0.0
02/09/2023 16:30:01,        0.0,        0.0,        0.0
02/09/2023 16:45:01,        0.0,        0.0,        0.0
02/09/2023 17:00:01,        0.0,        0.0,        0.0
02/09/2023 17:15:01,        0.0,        0.0,        0.0
02/09/2023 17:30:01,        0.0,        0.0,        0.0
02/09/2023 17:45:01,        0.0,        0.0,        0.0
02/09/2023 18:00:01,        0.0,        0.0,        0.0
02/09/2023 18:15:01,        0.0,        0.0,        0.0
02/09/2023 18:30:01,        0.0,        0.0,        0.0
02/09/2023 18:45:01,        0.0,        0.0,        0.0
02/09/2023 19:00:01,        0.0,        0.0,        0.0
02/09/2023 19:15:01,        0.0,        0.0,        0.0
02/09/2023 19:30:01,        0.0,        0.0,        0.0
02/09/2023 19:45:01,        0.0,        0.0,        0.0
02/09/2023 20:00:01,        0.0,        0.0,        0.0
02/09/2023 20:15:01,        0.0,        0.0,        0.0
02/09/2023 20:30:01,        0.0,        0.0,        0.0
02/09/2023 20:45:01,        0.0,        0.0,        0.0
02/09/2023 21:00:01,        0.0,        0.0,        0.0
02/09/2023 21:15:01,        0.0,        0.0,        0.0
02/09/2023 21:30:01,        0.0,        0.0,        0.0
02/09/2023 21:45:01,        0.0,        0.0,        0.0
02/09/2023 22:00:01,        0.0,        0.0,        0.0
02/09/2023 22:15:01,        0.0,        0.0,        0.0
02/09/2023 22:30:01,        0.0,        0.0,        0.0
02/09/2023 22:45:01,        0.0,        0.0,        0.0
02/09/2023 23:00:01,        0.0,        0.0,        0.0
02/09/2023 23:15:01,        0.0,        0.0,        0.0
02/09/2023 23:30:01,        0.0,        0.0,        0.0
02/09/2023 23:45:01,        0.0,        0.0,        0.0
02/10/2023 00:00:01,        0.0,        0.0,        0.0
02/10/2023 00:15:01,        0.0,        0.0,        0.0
02/10/2023 00:30:01,        0.0,        0.0,        0.0
02/10/2023 00:45:01,        0.0,        0.0,        0.0
02/10/2023 01:00:01,        0.0,        0.0,        0.0
02/10/2023 01:15:01,        0.0,        0.0,        0.0
02/10/2023 01:30:01,        0.0,        0.0,        0.0
02/10/2023 01:45:01,        0.0,        0.0,        0.0
02/10/2023 02:00:01,        0.0,        0.0,        0.0
02/10/2023 02:15:01,        0.0,        0.0,        0.0
02/10/2023 02:30:01,        0.0,        0.0,        0.0
02/10/2023 02:45:01,        0.0,        0.0,        0.0
02/10/2023 03:00:01,        0.0,        0.0,        0.0
02/10/2023 03:15:01,        0.0,        0.0,        0.0
02/10/2023 03:30:01,        0.0,        0.0,        0.0
02/10/2023 03:45:01,        0.0,        0.0,        0.0
02/10/2023 04:00:01,        0.0,        0.0,        0.0
02/10/2023 04:15:01,        0.0,        0.0,        0.0
02/10/2023 04:30:01,        0.0,        0.0,        0.0
02/10/2023 04:45:01,        0.0,        0.0,        0.0
02/10/2023 05:00:01,        0.0,        0.0,        0.0
02/10/2023 05:15:01,        0.0,        0.0,        0.0
02/10/2023 05:30:01,        0.0,        0.0,        0.0
02/10/2023 05:45:01,        0.0,        0.0,        0.0
02/10/2023 06:00:01,        0.0,        0.0,        0.0
02/10/2023 06:15:01,        0.0,        0.0,        0.0
02/10/2023 06:30:01,        0.0,        0.0,        0.0
02/10/2023 06:45:01,        0.0,        0.0,        0.0
02/10/2023 07:00:01,        0.0,        0.0,        0.0
02/10/2023 07:15:01,        0.0,        0.0,        0.0
02/10/2023 07:30:01,        0.0,        0.0,        0.0
02/10/2023 07:45:01,        0.0,        0.0,        0.0
02/10/2023 08:00:01,        0.0,        0.0,        0.0
02/10/2023 08:15:01,        0.0,        0.0,        0.0
02/10/2023 08:30:01,        0.0,        0.0,        0.0
02/10/2023 08:45:01,        0.0,        0.0,        0.0
02/10/2023 09:00:01,        0.0,        0.0,        0.0
02/10/2023 09:15:01,        0.0,        0.0,        0.0
02/10/2023 09:30:01,        0.0,        0.0,        0.0
02/10/2023 09:45:01,        0.0,        0.0,        0.0
02/10/2023 10:00:01,        0.0,        0.0,        0.0
02/10/2023 10:15:01,        0.0,        0.0,        0.0
02/10/2023 10:30:01,        0.0,        0.0,        0.0
02/10/2023 10:45:01,        0.0,        0.0,        0.0
02/10/2023 11:00:01,        0.0,        0.0,        0.0
02/10/2023 11:15:01,        0.0,        0.0,        0.0
02/10/2023 11:30:01,        0.0,        0.0,        0.0
02/10/2023 11:45:01,        0.0,        0.0,        0.0
02/10/2023 12:00:01,        0.0,        0.0,        0.0
02/10/2023 12:15:01,        0.0,        0.0,        0.0
02/10/2023 12:30:01,        0.0,        0.0,        0.0
02/10/2023 12:45:01,        0.0,        0.0,        0.0
02/10/2023 13:00:01,        0.0,        0.0,        0.0
02/10/2023 13:15:01,        0.0,        0.0,        0.0
02/10/2023 13:30:01,        0.0,        0.0,        0.0
02/10/2023 13:45:01,        0.0,        0.0,        0.0
02/10/2023 14:00:01,        0.0,        0.0,        0.0
02/10/2023 14:15:01,        0.0,        0.0,        0.0
02/10/2023 14:30:01,        0.0,        0.0,        0.0
02/10/2023 14:45:01,        0.0,        0.0,        0.0
02/10/2023 15:00:01,        0.0,        0.0,        0.0
02/10/2023 15:15:01,        0.0,        0.0,        0.0
02/10/2023 15:30:01,        0.0,        0.0,        0.0
02/10/2023 15:45:01,        0.0,        0.0,        0.0
02/10/2023 16:00:01,        0.0,        0.0,        0.0
02/10/2023 16:15:01,        0.0,        0.0,        0.0
02/10/2023 16:30:01,        0.0,        0.0,        0.0
02/10/2023 16:45:01,        0.0,        0.0,        0.0
02/10/2023 17:00:01,        0.0,        0.0,        0.0
02/10/2023 17:15:01,        0.0,        0.0,        0.0
02/10/2023 17:30:01,        0.0,        0.0,        0.0
02/10/2023 17:45:01,        0.0,        0.0,        0.0
02/10/2023 18:00:01,        0.0,        0.0,        0.0
02/10/2023 18:15:01,        0.0,        0.0,        0.0
02/10/2023 18:30:01,        0.0,        0.0,        0.0
02/10/2023 18:45:01,        0.0,        0.0,        0.0
02/10/2023 19:00:01,        0.0,        0.0,        0.0
02/10/2023 19:15:01,        0.0,        0.0,        0.0
02/10/2023 19:30:01,        0.0,        0.0,        0.0
02/10/2023 19:45:01,        0.0,        0.0,        0.0
02/10/2023 20:00:01,        0.0,        0.0,        0.0
02/10/2023 20:15:01,        0.0,        0.0,        0.0
02/10/2023 20:30:01,        0.0,        0.0,        0.0
02/10/2023 20:45:01,        0.0,        0.0,        0.0
02/10/2023 21:00:01,        0.0,        0.0,        0.0
02/10/2023 21:15:01,        0.0,        0.0,        0.0
02/10/2023 21:30:01,        0.0,        0.0,        0.0
02/10/2023 21:45:01,        0.0,        0.0,        0.0
02/10/2023 22:00:01,        0.0,        0.0,        0.0
02/10/2023 22:15:01,        0.0,        0.0,        0.0
02/10/2023 22:30:01,        0.0,        0.0,        0.0
02/10/2023 22:45:01,        0.0,        0.0,        0.0
02/10/2023 23:00:01,        0.0,        0.0,        0.0
02/10/2023 23:15:01,        0.0,        0.0,        0.0
02/10/2023 23:30:01,        0.0,        0.0,        0.0
02/10/2023 23:45:01,        0.0,        0.0,        0.0
02/11/2023 00:00:01,        0.0,        0.0,        0.0
02/11/2023 00:15:01,        0.0,        0.0,        0.0
02/11/2023 00:30:01,        0.0,        0.0,        0.0
02/11/2023 00:45:01,        0.0,        0.0,        0.0
02/11/2023 01:00:01,        0.0,        0.0,        0.0
02/11/2023 01:15:01,        0.0,        0.0,        0.0
02/11/2023 01:30:01,        0.0,        0.0,        0.0
02/11/2023 01:45:01,        0.0,        0.0,        0.0
02/11/2023 02:00:01,        0.0,        0.0,        0.0
02/11/2023 02:15:01,        0.0,        0.0,        0.0
02/11/2023 02:30:01,        0.0,        0.0,        0.0
02/11/2023 02:45:01,        0.0,        0.0,        0.0
02/11/2023 03:00:01,        0.0,        0.0,        0.0
02/11/2023 03:15:01,        0.0,        0.0,        0.0
02/11/2023 03:30:01,        0.0,        0.0,        0.0
02/11/2023 03:45:01,        0.0,        0.0,        0.0
02/11/2023 04:00:01,        0.0,        0.0,        0.0
02/11/2023 04:15:01,        0.0,        0.0,        0.0
02/11/2023 04:30:01,        0.0,        0.0,        0.0
02/11/2023 04:45:01,        0.0,        0.0,        0.0
02/11/2023 05:00:01,        0.0,        0.0,        0.0
02/11/2023 05:15:01,        0.0,        0.0,        0.0
02/11/2023 05:30:01,        0.0,        0.0,        0.0
02/11/2023 05:45:01,        0.0,        0.0,        0.0
02/11/2023 06:00:01,        0.0,        0.0,        0.0
02/11/2023 06:15:01,        0.0,        0.0,        0.0
02/11/2023 06:30:01,        0.0,        0.0,        0.0
02/11/2023 06:45:01,        0.0,        0.0,        0.0
02/11/2023 07:00:01,        0.0,        0.0,        0.0
02/11/2023 07:15:01,        0.0,        0.0,        0.0
02/11/2023 07:30:01,        0.0,        0.0,        0.0
02/11/2023 07:45:01,        0.0,        0.0,        0.0
02/11/2023 08:00:01,        0.0,        0.0,        0.0
02/11/2023 08:15:01,        0.0,        0.0,        0.0
02/11/2023 08:30:01,        0.0,        0.0,        0.0
02/11/2023 08:45:01,        0.0,        0.0,        0.0
02/11/2023 09:00:01,        0.0,        0.0,        0.0
02/11/2023 09:15:01,        0.0,        0.0,        0.0
02/11/2023 09:30:01,        0.0,        0.0,        0.0
02/11/2023 09:45:01,        0.0,        0.0,        0.0
02/11/2023 10:00:01,        0.0,        0.0,        0.0
02/11/2023 10:15:01,        0.0,        0.0,        0.0
02/11/2023 10:30:01,        0.0,        0.0,        0.0
02/11/2023 10:45:01,        0.0,        0.0,        0.0
02/11/2023 11:00:01,        0.0,        0.0,        0.0
02/11/2023 11:15:01,        0.0,        0.0,        0.0
02/11/2023 11:30:01,        0.0,        0.0,        0.0
02/11/2023 11:45:01,        0.0,        0.0,        0.0
02/11/2023 12:00:01,        0.0,        0.0,        0.0
02/11/2023 12:15:01,        0.0,        0.0,        0.0
02/11/2023 12:30:01,        0.0,        0.0,        0.0
02/11/2023 12:45:01,        0.0,        0.0,        0.0
02/11/2023 13:00:01,        0.0,        0.0,        0.0
02/11/2023 13:15:01,        0.0,        0.0,        0.0
02/11/2023 13:30:01,        0.0,        0.0,        0.0
02/11/2023 13:45:01,        0.0,        0.0,        0.0
02/11/2023 14:00:01,        0.0,        0.0,        0.0
02/11/2023 14:15:01,        0.0,        0.0,        0.0
02/11/2023 14:30:01,        0.0,        0.0,        0.0
02/11/2023 14:45:01,        0.0,        0.0,        0.0
02/11/2023 15:00:01,        0.0,        0.0,        0.0
02/11/2023 15:15:01,        0.0,        0.0,        0.0
02/11/2023 15:30:01,        0.0,        0.0,        0.0
02/11/2023 15:45:01,        0.0,        0.0,        0.0
02/11/2023 16:00:01,        0.0,        0.0,        0.0
02/11/2023 16:15:01,        0.0,        0.0,        0.0
02/11/2023 16:30:01,        0.0,        0.0,        0.0
02/11/2023 16:45:01,        0.0,        0.0,        0.0
02/11/2023 17:00:01,        0.0,        0.0,        0.0
02/11/2023 17:15:01,        0.0,        0.0,        0.0
02/11/2023 17:30:01,        0.0,        0.0,        0.0
02/11/2023 17:45:01,        0.0,        0.0,        0.0
02/11/2023 18:00:01,        0.0,        0.0,        0.0
02/11/2023 18:15:01,        0.0,        0.0,        0.0
02/11/2023 18:30:01,        0.0,        0.0,        0.0
02/11/2023 18:45:01,        0.0,        0.0,        0.0
02/11/2023 19:00:01,        0.0,        0.0,        0.0
02/11/2023 19:15:01,        0.0,        0.0,        0.0
02/11/2023 19:30:01,        0.0,        0.0,        0.0
02/11/2023 19:45:01,        0.0,        0.0,        0.0
02/11/2023 20:00:01,        0.0,        0.0,        0.0
02/11/2023 20:15:01,        0.0,        0.0,        0.0
02/11/2023 20:30:01,        0.0,        0.0,        0.0
02/11/2023 20:45:01,        0.0,        0.0,        0.0
02/11/2023 21:00:01,        0.0,        0.0,        0.0
02/11/2023 21:15:01,        0.0,        0.0,        0.0
02/11/2023 21:30:01,        0.0,        0.0,        0.0
02/11/2023 21:45:01,        0.0,        0.0,        0.0
02/11/2023 22:00:01,        0.0,        0.0,        0.0
02/11/2023 22:15:01,        0.0,        0.0,        0.0
02/11/2023 22:30:01,        0.0,        0.0,        0.0
02/11/2023 22:45:01,        0.0,        0.0,        0.0
02/11/2023 23:00:01,        0.0,        0.0,        0.0
02/11/2023 23:15:01,        0.0,        0.0,        0.0
02/11/2023 23:30:01,        0.0,        0.0,        0.0
02/11/2023 23:45:01,        0.0,        0.0,        0.0
02/12/2023 00:00:01,        0.0,        0.0,        0.0
02/12/2023 00:15:01,        0.0,        0.0,        0.0
02/12/2023 00:30:01,        0.0,        0.0,        0.0
02/12/2023 00:45:01,        0.0,        0.0,        0.0
02/12/2023 01:00:01,        0.0,        0.0,        0.0
02/12/2023 01:15:01,        0.0,        0.0,        0.0
02/12/2023 01:30:01,        0.0,        0.0,        0.0
02/12/2023 01:45:01,        0.0,        0.0,        0.0
02/12/2023 02:00:01,        0.0,        0.0,        0.0
02/12/2023 02:15:01,        0.0,        0.0,        0.0
02/12/2023 02:30:01,        0.0,        0.0,        0.0
02/12/2023 02:45:01,        0.0,        0.0,        0.0
02/12/2023 03:00:01,        0.0,        0.0,        0.0
02/12/2023 03:15:01,        0.0,        0.0,        0.0
02/12/2023 03:30:01,        0.0,        0.0,        0.0
02/12/2023 03:45:01,        0.0,        0.0,        0.0
02/12/2023 04:00:01,        0.0,        0.0,        0.0
02/12/2023 04:15:01,        0.0,        0.0,        0.0
02/12/2023 04:30:01,        0.0,        0.0,        0.0
